,date,hour,sentiment,rank_score,sentimenttitle,sentimenttext,datetime
179,2020-12-17,0,1.0,3.7,0.0,0.0,2020-12-17 0:00:00
180,2020-12-17,1,0.5,2.956,0.0,0.2,2020-12-17 1:00:00
181,2020-12-17,2,1.0,1.9799999999999998,0.0,0.0,2020-12-17 2:00:00
182,2020-12-17,3,0.0,2.7975,0.0,0.5,2020-12-17 3:00:00
183,2020-12-17,4,0.25,3.19625,0.375,0.125,2020-12-17 4:00:00
184,2020-12-17,5,0.4,3.5160000000000005,0.0,0.4,2020-12-17 5:00:00
185,2020-12-17,6,0.4,2.8979999999999997,0.2,0.8,2020-12-17 6:00:00
186,2020-12-17,7,0.42857142857142855,2.85,0.2857142857142857,0.0,2020-12-17 7:00:00
187,2020-12-17,8,0.7142857142857143,2.6257142857142854,0.14285714285714285,0.7142857142857143,2020-12-17 8:00:00
188,2020-12-17,9,0.5454545454545454,2.7109090909090905,0.0,0.2727272727272727,2020-12-17 9:00:00
189,2020-12-17,10,1.0,2.92,0.0,1.0,2020-12-17 10:00:00
190,2020-12-17,11,0.2,2.02,0.0,0.2,2020-12-17 11:00:00
191,2020-12-17,12,0.0,2.853333333333333,0.0,0.0,2020-12-17 12:00:00
192,2020-12-17,13,0.5,3.075,0.0,0.0,2020-12-17 13:00:00
193,2020-12-17,14,0.0,2.02,2.0,2.0,2020-12-17 14:00:00
194,2020-12-17,15,1.0,2.17,0.6666666666666666,0.0,2020-12-17 15:00:00
195,2020-12-17,16,0.6666666666666666,2.6199999999999997,1.0,0.6666666666666666,2020-12-17 16:00:00
196,2020-12-17,17,0.0,2.02,0.0,0.0,2020-12-17 17:00:00
197,2020-12-17,18,0.0,3.715,1.0,1.0,2020-12-17 18:00:00
198,2020-12-17,19,0.5,2.9400000000000004,0.5,0.0,2020-12-17 19:00:00
199,2020-12-17,20,1.5,2.51,1.0,1.0,2020-12-17 20:00:00
200,2020-12-17,21,1.0,2.51,1.0,1.5,2020-12-17 21:00:00
201,2020-12-17,22,0.5,2.02,0.5,0.0,2020-12-17 22:00:00
202,2020-12-17,23,0.5,2.5525,0.0,0.0,2020-12-17 23:00:00
203,2020-12-18,0,0.0,2.17,0.0,0.0,2020-12-18 0:00:00
204,2020-12-18,1,0.6,2.626,0.0,0.4,2020-12-18 1:00:00
205,2020-12-18,2,0.6666666666666666,3.11,0.0,0.0,2020-12-18 2:00:00
206,2020-12-18,3,0.4,2.6019999999999994,0.2,0.2,2020-12-18 3:00:00
207,2020-12-18,4,0.375,3.0312499999999996,0.625,0.625,2020-12-18 4:00:00
208,2020-12-18,5,0.8333333333333334,3.1216666666666666,0.5,0.5,2020-12-18 5:00:00
209,2020-12-18,6,0.25,3.0975,0.25,0.25,2020-12-18 6:00:00
210,2020-12-18,7,0.3,2.7849999999999997,0.3,0.2,2020-12-18 7:00:00
211,2020-12-18,8,0.25,2.3874999999999997,0.25,0.0,2020-12-18 8:00:00
212,2020-12-18,9,0.0,2.77,0.0,1.0,2020-12-18 9:00:00
213,2020-12-18,10,1.3333333333333333,4.366666666666666,0.6666666666666666,0.0,2020-12-18 10:00:00
214,2020-12-18,11,1.0,3.7199999999999998,0.0,0.0,2020-12-18 11:00:00
215,2020-12-18,12,2.0,4.403333333333333,0.0,0.6666666666666666,2020-12-18 12:00:00
216,2020-12-18,14,1.0,3.98,0.0,0.0,2020-12-18 14:00:00
217,2020-12-18,15,1.0,3.36,2.0,0.0,2020-12-18 15:00:00
218,2020-12-18,16,0.0,3.45,0.0,0.0,2020-12-18 16:00:00
219,2020-12-18,17,1.0,4.83,0.0,0.0,2020-12-18 17:00:00
220,2020-12-18,22,0.6666666666666666,3.686666666666667,0.6666666666666666,0.6666666666666666,2020-12-18 22:00:00
221,2020-12-18,23,1.0,3.9499999999999997,0.0,0.0,2020-12-18 23:00:00
222,2020-12-19,0,0.0,3.56,0.0,0.0,2020-12-19 0:00:00
223,2020-12-19,1,0.0,3.69,0.0,0.0,2020-12-19 1:00:00
224,2020-12-19,2,0.5,3.515,0.0,0.25,2020-12-19 2:00:00
225,2020-12-19,3,2.0,4.16,2.0,2.0,2020-12-19 3:00:00
226,2020-12-19,4,2.0,4.12,2.0,1.0,2020-12-19 4:00:00
227,2020-12-19,5,2.0,3.98,0.0,0.0,2020-12-19 5:00:00
228,2020-12-19,6,0.0,3.86,0.0,0.0,2020-12-19 6:00:00
229,2020-12-19,7,1.5,4.075,1.5,0.0,2020-12-19 7:00:00
230,2020-12-19,8,0.0,4.34,0.0,0.0,2020-12-19 8:00:00
231,2020-12-19,9,2.0,3.98,0.0,0.0,2020-12-19 9:00:00
232,2020-12-19,19,1.0,3.7,0.0,0.0,2020-12-19 19:00:00
233,2020-12-20,1,0.0,3.715,0.0,1.0,2020-12-20 1:00:00
234,2020-12-20,2,1.5,3.63,0.0,1.0,2020-12-20 2:00:00
235,2020-12-20,4,1.5,4.18,1.0,0.0,2020-12-20 4:00:00
236,2020-12-20,8,0.5,4.395,0.5,0.0,2020-12-20 8:00:00
237,2020-12-20,10,0.0,3.92,0.0,0.0,2020-12-20 10:00:00
238,2020-12-20,12,1.0,4.44,1.0,1.0,2020-12-20 12:00:00
239,2020-12-20,13,0.0,3.98,0.0,0.0,2020-12-20 13:00:00
240,2020-12-21,2,1.5,3.815,0.0,0.0,2020-12-21 2:00:00
241,2020-12-21,3,1.0,3.54,0.0,1.0,2020-12-21 3:00:00
242,2020-12-21,4,0.3333333333333333,4.1866666666666665,0.0,0.3333333333333333,2020-12-21 4:00:00
243,2020-12-21,5,0.0,4.32,0.0,1.0,2020-12-21 5:00:00
244,2020-12-21,6,0.5,3.33,0.0,0.0,2020-12-21 6:00:00
245,2020-12-21,8,2.0,4.67,0.0,1.0,2020-12-21 8:00:00
246,2020-12-21,10,0.6666666666666666,4.206666666666667,1.0,1.0,2020-12-21 10:00:00
247,2020-12-21,12,0.5,3.435,0.5,1.0,2020-12-21 12:00:00
248,2020-12-21,14,0.0,3.41,0.0,0.0,2020-12-21 14:00:00
249,2020-12-21,15,0.0,4.52,0.0,0.0,2020-12-21 15:00:00
250,2020-12-21,17,0.0,3.4,0.0,0.0,2020-12-21 17:00:00
251,2020-12-21,18,1.0,3.5425,0.5,0.25,2020-12-21 18:00:00
252,2020-12-21,22,0.6666666666666666,4.19,0.3333333333333333,0.0,2020-12-21 22:00:00
253,2020-12-21,23,0.6,3.772,0.6,0.2,2020-12-21 23:00:00
254,2020-12-22,0,0.4,3.7380000000000004,0.0,0.4,2020-12-22 0:00:00
255,2020-12-22,1,0.5,4.0600000000000005,0.0,0.0,2020-12-22 1:00:00
256,2020-12-22,2,0.3333333333333333,4.002222222222223,0.3333333333333333,0.0,2020-12-22 2:00:00
257,2020-12-22,3,0.16666666666666666,3.8466666666666662,0.16666666666666666,0.5,2020-12-22 3:00:00
258,2020-12-22,4,1.3333333333333333,5.066666666666666,1.3333333333333333,0.6666666666666666,2020-12-22 4:00:00
259,2020-12-22,5,0.8571428571428571,3.9,0.14285714285714285,0.2857142857142857,2020-12-22 5:00:00
260,2020-12-22,6,1.3333333333333333,3.6833333333333336,0.0,0.0,2020-12-22 6:00:00
261,2020-12-22,7,1.5,3.9599999999999995,1.0,0.16666666666666666,2020-12-22 7:00:00
262,2020-12-22,8,1.0,3.66,2.0,1.0,2020-12-22 8:00:00
263,2020-12-22,9,1.5,3.92,0.0,0.0,2020-12-22 9:00:00
264,2020-12-22,10,1.25,3.775,0.5,0.5,2020-12-22 10:00:00
265,2020-12-22,13,0.5,3.84,0.0,0.5,2020-12-22 13:00:00
266,2020-12-22,14,0.0,3.71,0.0,0.0,2020-12-22 14:00:00
267,2020-12-22,15,1.5,3.8850000000000002,1.5,1.0,2020-12-22 15:00:00
268,2020-12-22,16,0.0,4.03,0.0,0.0,2020-12-22 16:00:00
269,2020-12-22,18,0.5,3.51,0.0,0.0,2020-12-22 18:00:00
270,2020-12-22,21,0.0,3.97,0.0,0.0,2020-12-22 21:00:00
271,2020-12-22,22,1.0,3.2,1.0,1.0,2020-12-22 22:00:00
272,2020-12-22,23,0.5,3.9749999999999996,0.0,0.0,2020-12-22 23:00:00
273,2020-12-23,0,0.5,3.48,2.0,1.0,2020-12-23 0:00:00
274,2020-12-23,1,0.5,4.18,0.5,0.0,2020-12-23 1:00:00
275,2020-12-23,2,0.6666666666666666,3.1266666666666665,0.3333333333333333,0.3333333333333333,2020-12-23 2:00:00
276,2020-12-23,3,1.5,3.6399999999999997,0.5,1.5,2020-12-23 3:00:00
277,2020-12-23,4,1.0,3.8,0.0,0.0,2020-12-23 4:00:00
278,2020-12-23,5,0.5,3.63,0.0,0.25,2020-12-23 5:00:00
279,2020-12-23,6,1.0,3.2800000000000002,1.0,0.0,2020-12-23 6:00:00
280,2020-12-23,7,0.7142857142857143,4.3,0.5714285714285714,0.7142857142857143,2020-12-23 7:00:00
281,2020-12-23,8,0.8571428571428571,3.7657142857142856,0.2857142857142857,0.5714285714285714,2020-12-23 8:00:00
282,2020-12-23,9,1.0,3.98,0.0,0.0,2020-12-23 9:00:00
283,2020-12-23,10,1.0,4.576666666666667,0.3333333333333333,0.3333333333333333,2020-12-23 10:00:00
284,2020-12-23,11,0.6666666666666666,4.326666666666667,0.0,0.6666666666666666,2020-12-23 11:00:00
285,2020-12-23,12,0.75,3.9225000000000003,0.0,0.0,2020-12-23 12:00:00
286,2020-12-23,14,1.5,6.775,0.0,1.5,2020-12-23 14:00:00
287,2020-12-23,18,1.0,3.34,1.0,1.0,2020-12-23 18:00:00
288,2020-12-23,20,1.0,3.5250000000000004,0.0,1.0,2020-12-23 20:00:00
289,2020-12-23,21,0.0,3.4,0.0,0.0,2020-12-23 21:00:00
290,2020-12-23,22,1.0,3.6099999999999994,0.6666666666666666,1.0,2020-12-23 22:00:00
291,2020-12-23,23,1.6666666666666667,3.623333333333333,0.6666666666666666,0.0,2020-12-23 23:00:00
292,2020-12-24,0,2.0,4.17,0.0,2.0,2020-12-24 0:00:00
293,2020-12-24,1,1.5,4.405,1.5,1.0,2020-12-24 1:00:00
294,2020-12-24,2,0.6,3.854,0.2,0.0,2020-12-24 2:00:00
295,2020-12-24,3,1.25,4.1075,0.5,0.5,2020-12-24 3:00:00
296,2020-12-24,4,0.42857142857142855,4.542857142857143,0.42857142857142855,0.5714285714285714,2020-12-24 4:00:00
297,2020-12-24,5,0.9,4.082999999999999,0.0,0.1,2020-12-24 5:00:00
298,2020-12-24,6,0.0,4.06,0.0,0.0,2020-12-24 6:00:00
299,2020-12-24,7,0.0,3.98,0.0,0.0,2020-12-24 7:00:00
300,2020-12-24,8,1.0,3.605,1.0,1.0,2020-12-24 8:00:00
301,2020-12-24,9,1.5,3.8600000000000003,1.0,0.0,2020-12-24 9:00:00
302,2020-12-24,10,0.0,3.66,0.0,0.0,2020-12-24 10:00:00
303,2020-12-24,11,0.0,4.359999999999999,0.0,0.5,2020-12-24 11:00:00
304,2020-12-24,17,0.0,3.45,2.0,0.0,2020-12-24 17:00:00
305,2020-12-24,23,2.0,3.24,0.0,0.0,2020-12-24 23:00:00
306,2020-12-25,2,0.0,3.34,0.0,0.0,2020-12-25 2:00:00
307,2020-12-25,3,0.5,3.8,0.5,1.5,2020-12-25 3:00:00
308,2020-12-25,6,0.0,4.21,1.0,1.0,2020-12-25 6:00:00
309,2020-12-25,14,1.0,4.03,0.0,0.0,2020-12-25 14:00:00
310,2020-12-26,2,1.0,3.69,1.0,1.0,2020-12-26 2:00:00
311,2020-12-26,4,0.0,4.38,0.0,0.0,2020-12-26 4:00:00
312,2020-12-26,6,0.0,3.84,0.0,0.0,2020-12-26 6:00:00
313,2020-12-26,9,0.0,4.17,2.0,2.0,2020-12-26 9:00:00
314,2020-12-26,23,0.0,3.66,0.0,0.5,2020-12-26 23:00:00
315,2020-12-27,1,0.5,3.84,1.0,1.5,2020-12-27 1:00:00
316,2020-12-27,2,0.0,3.45,0.0,0.0,2020-12-27 2:00:00
317,2020-12-27,3,0.0,3.9766666666666666,0.0,0.6666666666666666,2020-12-27 3:00:00
